Controls,image,url,icon,stix_type,protocol,group,typeql,class,form,form_group,form_family,condition1,field1,value1,condition2,field2,value2,head,prior_string0,post_field0,prior_string1,post_field1,prior_string2,post_field2,prior_string3,post_field3,prior_string4,post_field4,prior_string5,post_field5,prior_string6,post_field6
,,https://raw.githubusercontent.com/os-threat/images/refs/heads/main/img/norm-identity-individual.svg,identity-individual,identity,stix21,sdo,identity,Identity,identity,sdo-forms,stix-forms,EQUALS,identity_class,individual,,,,Identity-Individual,Name -> ,name,Description ->,description,,,,,,,,,,
,,https://raw.githubusercontent.com/os-threat/images/refs/heads/main/img/norm-identity-group.svg,identity-group,identity,stix21,sdo,identity,Identity,identity,sdo-forms,stix-forms,EQUALS,identity_class,group,,,,Identity-Group,Name -> ,name,Description ->,description,,,,,,,,,,
,,https://raw.githubusercontent.com/os-threat/images/refs/heads/main/img/norm-identity-unknown.svg,identity-unknown,identity,stix21,sdo,identity,Identity,identity,sdo-forms,stix-forms,,,,,,,Identity-Unknown,Name -> ,name,Description ->,description,,,,,,,,,,
,,https://raw.githubusercontent.com/os-threat/images/refs/heads/main/img/norm-identity-organization.svg,identity-organization,identity,stix21,sdo,identity,Identity,identity,sdo-forms,stix-forms,EQUALS,identity_class,organization,,,,Identity-Organization,Name -> ,name,Description ->,description,,,,,,,,,,
,,https://raw.githubusercontent.com/os-threat/images/refs/heads/main/img/norm-impact-confidentiality.svg,impact-confidentiality,impact,os-threat,sdo,impact,Impact,impact,sdo-forms,stix-forms,EXISTS,extensions.confidentiality,,,,,Impact-Confidentiality,Type ->,extensions.confidentiality.information_type,Description ->,description,,,,,,,,,,
,,https://raw.githubusercontent.com/os-threat/images/refs/heads/main/img/norm-impact-availability.svg,impact-availability,impact,os-threat,sdo,impact,Impact,impact,sdo-forms,os-threat-forms,EXISTS,extensions.availability,,,,,Impact-Availability,Impact ->,extensions.availability.availability_impact,Description ->,description,,,,,,,,,,
,,https://raw.githubusercontent.com/os-threat/images/refs/heads/main/img/norm-impact-traceability.svg,impact-traceability,impact,os-threat,sdo,impact,Impact,impact,sdo-forms,os-threat-forms,EXISTS,extensions.traceability,,,,,Impact-Traceability,Impact ->,extensions.traceability.traceability_impact,Description ->,description,,,,,,,,,,
,,https://raw.githubusercontent.com/os-threat/images/refs/heads/main/img/norm-impact-external.svg,impact-external,impact,os-threat,sdo,impact,Impact,impact,sdo-forms,os-threat-forms,EXISTS,extensions.external,,,,,Impact-External,Type ->,extensions.external.impact_type,Description ->,description,,,,,,,,,,
,,https://raw.githubusercontent.com/os-threat/images/refs/heads/main/img/norm-impact-integrity.svg,impact-integrity,impact,os-threat,sdo,impact,Impact,impact,sdo-forms,os-threat-forms,EXISTS,extensions.integrity,,,,,Impact-Integrity,Type ->,extensions.integrity.information_type,Description ->,description,,,,,,,,,,
,,https://raw.githubusercontent.com/os-threat/images/refs/heads/main/img/norm-impact-monetary.svg,impact-monetary,impact,os-threat,sdo,impact,Impact,impact,sdo-forms,os-threat-forms,EXISTS,extensions.monetary,,,,,Impact-Monetary,Type ->,extensions.monetary.variety,Description ->,description,,,,,,,,,,
,,https://raw.githubusercontent.com/os-threat/images/refs/heads/main/img/norm-impact-physical.svg,impact-physical,impact,os-threat,sdo,impact,Impact,impact,sdo-forms,os-threat-forms,EXISTS,extensions.physical,,,,,Impact-Physical,Type ->,extensions.physical.impact_type,Description ->,description,,,,,,,,,,
,,https://raw.githubusercontent.com/os-threat/images/refs/heads/main/img/norm-incident-ext.svg,incident-ext,incident,os-threat,sdo,incident,Incident,incident,sdo-forms,os-threat-forms,EXISTS,extensions.extension-definition--ef765651-680c-498d-9894-99799f2fa126,,,,,Extended-Incident,Name -> ,name,Description ->,description,,,,,,,,,,
,,https://raw.githubusercontent.com/os-threat/images/refs/heads/main/img/norm-incident.svg,incident,incident,stix21,sdo,incident,Incident,incident,sdo-forms,os-threat-forms,,,,,,,Incident,Name -> ,name,Description ->,description,,,,,,,,,,
,,https://raw.githubusercontent.com/os-threat/images/refs/heads/main/img/norm-indicator.svg,indicator,indicator,stix21,sdo,indicator,Indicator,indicator,sdo-forms,stix-forms,,,,,,,Indicator,Name -> ,name,Description ->,description,,,,,,,,,,
,,https://raw.githubusercontent.com/os-threat/images/refs/heads/main/img/norm-infrastructure.svg,infrastructure,infrastructure,stix21,sdo,infrastructure,Infrastructure,infrastructure,sdo-forms,stix-forms,,,,,,,Infrastructure,Name -> ,name,Description ->,description,,,,,,,,,,
,,https://raw.githubusercontent.com/os-threat/images/refs/heads/main/img/norm-intrusion-set.svg,intrusion-set,intrusion-set,stix21,sdo,intrusion-set,IntrusionSet,intrusion-set,sdo-forms,stix-forms,,,,,,,Intrusion-Set,Name -> ,name,Description ->,description,,,,,,,,,,
,,https://raw.githubusercontent.com/os-threat/images/refs/heads/main/img/norm-location.svg,location,location,stix21,sdo,location,Location,location,sdo-forms,stix-forms,,,,,,,Location,Name -> ,name,Description ->,description,,,,,,,,,,
